|valor|tipo_do_aluguel|descricao|condominium|iptu|andress|size|bedrooms|parking_spaces|bathrooms|news
15|3850|/mês|O apartamento no bairro Vila Cruzeiro possui 67 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui salão de festas, jardim, área de fitness, área de brinquedo para a...|R$ 650|48|Rua Luís Correia de Melo, Vila Cruzeiro|67²|2|1|2|
16|4800|/mês|Ampla sala para 03 ambientes, varanda envidraçada. Linda vista!  02 dormitórios sendo 01 suíte. Cozinha, lavanderia e wc de empregada.  **Obs: o 3º dormitório foi ampliado para a s...|R$ 1.245|345|Rua Capitão Otávio Machado, Chácara Santo Antônio|100²|3|2|3|Destaque
17|1000|/mês|O apartamento está localizado no bairro Caixa D'Água com 50 metros quadrados com 2 quartos e 1 banheiro Possui área verde de jardim, espaço para festas, espaço gourmet. Vai lhe pos...|null|null|Rua Doutor Gerino de Souza Filho, Caixa D Agua|50²|2|1|1|Destaque
18|1600|/mês|APARTAMENTO PARA ALUGAR NO BAIRRO CHARQUEADAS! 2 Dormitórios sendo 1 Suíte, Sala de Estar com Sacada Aberta e Churrasqueira, Cozinha, Área de Serviço, 2 Banheiros. 2 Vagas de Veícu...|R$ 180|null|Rua Doutor Norberto Tonietto, Charqueadas|76²|2|2|2|
19|3000|/mês|Jardim de Provence (Mobiliado) 66m2 2/4 sendo 1 suíte  01 vaga na garagem Condomínio completo  R$ 3.000,00 (incluso condomínio e IPTU)  Condições para locação: Contrato de 12 meses...|null|null|Rodovia Augusto Montenegro, Parque Verde|66²|2|1|2|
20|2400|/mês|[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento semimobiliado com excelente localização, próximo ao Zaffari, Shopping Total, Rest...|R$ 709|195|Rua Tomaz Flores, Independência|95²|2|1|1|Destaque
21|2500|/mês|Edificio Plaza Tower - PLAZA TOWER I - Apartamento de 2 dormitorios com armario embutido, sendo 1 tipo apartamento, 2 wcs com gabinete e box, sala para 2 ambientes com sacada, cozi...|R$ 430|null|Parque Estoril, São José do Rio Preto|73²|2|2|2|Destaque
22|1500|/mês|Apartamento Com   02 Quartos, Sendo 01 Com Guarda Roupa, Cama De Casal E Split   Banheiro Social Com Box E Pia De Mármore   Sala De Estar/jantar Com Luminárias, Mesa Para 10 Pess...|R$ 370|null|Rua Miguel Simão, Centro|64²|2|1|1|
23|1870|/mês|Marlon - 0 2 2 9 9 9 6 7 - 9 6 6 0   Todas as taxas 2.300,00   Conseguimos formatar 2 x o valor da locação o valor !   O apartamento está localizado no bairro Parque Santo Amaro te...|R$ 360|70|Avenida Doutor Nilo Peçanha, Parque Santo Amaro|69²|3|1|1|
24|1200|/mês|Condominio Viva Mais, 02 quartos, sala, cozinha, banheiro social, 01 vaga! Condominio Fechado, portaria 24hrs, infraestrutura de lazer. Depósito caução 03 meses!|R$ 290|60|Rua Tenório Cavalcanti, Vila Catia|42²|2|1|1|
25|1200|/mês|Excelente apartamento em condomínio tranquilo e com localização próximo a comércios e transporte publico!  Maiores informações: Oferta disponível por tempo limitado, entre em conta...|R$ 90|null|Cohab II, Carapicuíba|56²|2|1|1|
26|2600|/mês|LINDO APARTAMENTO NO LITORAL SUL DE SP   São 80 m², 2 dormitórios com uma suíte, sacada e vaga de garagem. Apartamento espaçoso, bem iluminado e arejado.   Quer conforto e lazer ga...|null|null|Avenida Cidade de Itanhaém, Santa Eugenia|80²|2|1|2|
27|3600|/mês|O apartamento está localizado no excelente bairro Aclimação, possui 2 quartos sendo 1 suite, 1 banheiro e 1 sala.  Possui salão para festas e salão de jogos, quadra poliesportiva e...|R$ 765|null|Rua Apeninos, Aclimação|65²|2|null|1|
28|2500|/mês|Varanda, sala de estar, 1 quarto, 1 suíte, wc social, cozinha, dependência de empregado, área de serviço, 1 vg e área de lazer no condomínio. Taxa de condomínio incluso.|null|null|Jardim Renascença, São Luís|70²|2|1|3|
29|3500|/mês|ALUGUEL- APARTAMENTO MOBILIADO - PONTA DO FAROL  Alugo apartamento completamente mobiliado, climatizado, tendo:  - Sala de Estar - Sala de Jantar - Varanda - Lavabo - Banheiro Soci...|null|null|Avenida Conselheiro Hilton Rodrigues, Ponta Do Farol|50²|1|1|2|
30|3750|/mês|O apartamento está localizado no bairro Vila Pompéia tem 70 metros quadrados com 2 quartos e 1 banheiro Possui área de fitness, espaço para festas. Piscina. Elevador Social e Servi...|R$ 962|287|Rua Barão do Bananal, Pompeia|70²|2|1|1|
31|2000|/mês|Ótima localização proximo a UFMT, com exelente infraestrutura para seu conforto e segurança!  Um ótimo apartamrnto para voçê que busca um espaço a mais, o apartamento possui uma ar...|R$ 400|null|Avenida Archimedes Pereira Lima, Jardim Leblon|74²|3|1|2|Destaque
32|1400|/mês|Apartamento com suite,Área de lazer completa com piscina, playground, churrasqueira, área gourmet, portaria 24h.Pronto para morar! -|R$ 338|30|Valentina Figueiredo, Ribeirão Preto|58²|2|1|2|Destaque
33|2500|/mês|** (ATENÇÃO)**  GOSTOU?ENTÃO NÃO PERCA TEMPO.ENTRE EM CONTATO CONOSCO, E AGENDE JÁ SUA VISITA!! Apartamento no condomínio Reservas de Villa Branca 03 quartos sendo 01 suíte Cozinha...|R$ 420|80|Avenida das Letras, Loteamento Villa Branca|66²|3|1|2|
34|1000|/mês|Apartamento com excelente localização, próximo ao Jardim Verde Shopping, Colégio Marista Ipanema, Zaffari Ipanema, com fácil acesso para as Avenidas Monte Cristo, Av. Eduardo Prado...|R$ 270|42|Rua Pércio Freitas Maestri, Ipanema|42²|2|null|1|Destaque
35|2300|/mês|*O ENDEREÇO: AVENIDA PRESIDENTE KENNEDY 12.718 É DA IMOBILIÁRIA*  Apartamento, situado em área residencial no bairro Jardim Real!   DESCRIÇÃO INTERNA: 2 Dormitórios sendo uma Suíte...|null|null|Avenida Presidente Kennedy, Jardim Real|50²|2|1|1|
36|900|/mês|Ótima localização no centro de Guarulhos ao lado da Faculdade Ung. Região central com todos os tipos de comércios a disposição além de Hospital, Hotéis e Supermercados. Fácil acess...|R$ 537|45|Rua Doutor Nilo Peçanha, Centro|59²|2|null|1|
37|1590|/mês|Apartamento mobiliado com excelente localização, próximo ao Shopping João Pessoa, Hospital Santa Casa, Zaffari, Panvel, Parque Farroupilha e Restaurantes. Fácil acesso para as Aven...|R$ 326|31|Rua General Lima e Silva, Centro Histórico|40²|1|null|1|Destaque
38|1334|/mês|Procurando um apartamento no Parque Arnold Schimdt ? Este pode ser o perfeito para você! Ele possui:  - 2 dormitórios (com armários embutidos);  - 1 banheiro com armário;  - Cozinh...|R$ 280|65|Avenida Francisco Pereira Lopes, Parque Arnold Schimidt|49²|2|1|1|
39|1350|/mês|Imóvel aconchegante para alugar com 1 quarto e 1 banheiro no total. Este imóvel fica situado no 1º andar. O condomínio fica localizado em Rua Capitao Avelino Carneiro no bairro Pen...|R$ 258|80|Rua Capitão Avelino Carneiro, Penha De Franca|37²|1|null|1|
40|2300|/mês|O apartamento no bairro Freguesia (Jacarepaguá) tem 75 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui academia, espaço gourmet, área verde de jardim, salão para...|R$ 1.004|700|Estrada dos Três Rios, Freguesia- Jacarepaguá|75²|2|1|2|
41|1250|/mês|Excelente stúdio completamente renovado, localizado no coração do 4º distrito. Ao lado de farmácias, supermercado e bancos. Localizada a 750m da estação São Pedro Trensurb e à 150m...|R$ 155|52|Avenida São Pedro, São Geraldo|43²|1|null|1|
42|3900|/mês|Alugo excelente apartamento em Tambau, próximo ao Colégio Motiva, composto de 2 quartos sendo 1 suite, mobiliado de tudo, com vista e andar alto, muito ventilado, 2vagas de garagem...|null|null|Tambaú, João Pessoa|56²|2|2|1|
43|4300|/mês|Apartamento mobiliado , em ótimas condições , prédio com lazer completo . Apenas 5 minutos andando de distância do IAMSPE e 10 minutos do Hospital São Paulo.|R$ 1.050|255|Rua Leopoldo de Bulhões, Vila Clementino|57²|2|1|1|Destaque
44|3700|/mês|# Apartamento de 80 m², 2 quartos e 1 suíte e sacada #  - Sala dois ambientes, 2 quartos sendo uma suite, banheiro social, cozinha, área de serviço , varanda, hobby- box no andar....|R$ 380|128|Condomínio Royal Park, São José dos Campos|80²|2|2|1|
45|1700|/mês|Belo apartamento Com 2 dormitórios, 1 banheiro com box e pia com gabinete, sala, cozinha tem pia com gabinete e lavanderia Todo em ótimo acabamento, portas de madeira  1 vaga de ga...|R$ 150|95|Rua Enótria, Vila Mazzei|42²|2|1|1|
46|3780|/mês|Apartamento - Jardim Aquarius - Condomínio Aquarius Premium - 100m² - 3 Dormitórios.  O Condomínio Aquarius Premium está localizado no Jardim Aquarius, Próximo Praça Ulisses Guimar...|null|null|Conjunto Residencial Elmano Veloso, São José dos Campos|100²|3|2|2|
47|4200|/mês|Ótimo apartamento com excelente localização no bairro Parque Residencial Jardim Aquarius próximo ao Carrefour e Fórum o apartamento possui 83 metros quadrados com uma linda varanda...|R$ 500|100|Rua Doutor Tertuliano Delphim Júnior, Jardim Aquarius|83²|2|2|1|Destaque
48|1600|/mês|O apartamento no bairro Aeroclube com 55 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros, sala e cozinha.  localizado em área nobre. excelente acabamento. primeiro andar...|null|null|Aeroclube, João Pessoa|55²|2|null|2|
49|1000|/mês|MARLON - 0 2 2 9 9 9 6 7 - 9 6 6 0   R$ 1.350,00 com todas as taxas ! - cond, locação, iptu e taxa de incêndio.   1 caução correspondente a 2 x o valor da locação !  O apartamento...|R$ 300|50|Avenida Alberto Lamego, Parque Califórnia|100²|3|1|1|
50|1100|/mês|Excelente Apartamento de 60m² no bairro Passo das Pedras em Gravataí/RS  Dispõe de dois dormitórios, banheiro social, sala de estar/jantar, churrasqueira, área de serviço.  Condomí...|R$ 230|88|Passo das Pedras, Gravataí|60²|2|null|1|
51|1000|/mês|Aluga apartamento com dois dormitórios, sala, cozinha com gabinete, banheiro social, área de serviço e uma vaga de garagem.|null|null|Rua Manuel de Freitas, Jardim Doutor Antônio Petráglia|65²|2|1|1|
52|3000|/mês|Jardim de Provence (Mobiliado) 66m2 2/4 sendo 1 suíte  01 vaga na garagem Condomínio completo  R$ 3.000,00 (incluso condomínio e IPTU)  Condições para locação: Contrato de 12 meses...|null|null|Rodovia Augusto Montenegro, Parque Verde|66²|2|1|2|
53|2800|/mês|Este apartamento localizado no bairro João Paulo, possui 3 dormitórios sendo 1 suíte com vista para o mar, 2 banheiros, sala para dois ambientes e 2 vagas de garagem. A portaria pa...|R$ 800|126|Rodovia João Paulo, Joao Paulo|80²|3|2|2|Super destaque
54|1600|/mês|APARTAMENTO PARA ALUGAR NO BAIRRO CHARQUEADAS! 2 Dormitórios sendo 1 Suíte, Sala de Estar com Sacada Aberta e Churrasqueira, Cozinha, Área de Serviço, 2 Banheiros. 2 Vagas de Veícu...|R$ 180|null|Rua Doutor Norberto Tonietto, Charqueadas|76²|2|2|2|
55|3474|/mês|O apartamento com vista para o mar, no bairro Boqueirão possui 80 metros quadrados com 2 quartos e 2 banheiros. Dependência de empregada completa.  Duas vagas de garagem coletiva....|R$ 326|326|Avenida Bartolomeu de Gusmão, Boqueirão|80²|2|2|2|
56|2000|/mês|Apartamento de 90m² com 2 dormitórios a venda - Parque Esplanada do Embu Apartamento espaçoso com dois (2) dormitórios sendo um (1) suíte, sala para dois ambientes, varanda com chu...|null|null|Estrada São Judas, Esplanada|90²|2|1|2|
57|850|/mês|Apartamento para Aluguel, 44m² por R$ 850/Mês. Cohab V - Carapicuíba/SP   Encontrar o imóvel dos sonhos nunca foi tão fácil como na parceria entre a Arbo e a Collina Imóveis!   Bas...|R$ 110|null|Cohab 5, Carapicuíba|44²|2|1|1|
58|1000|/mês|Santa Rosa - Niterói - RJ. Ótimo apartamento no bairro Santa Rosa tem 50 metros quadrados com 2 quartos e 2 banheiros, banheiro social, ampla cozinha com armários , área de serviço...|R$ 990|120|Travessa Santa Rosa do Viterbo, Santa Rosa|50²|2|null|2|
59|900|/mês|Procurando um apartamento no Romeu Santini? Este pode ser o que você está procurando! Ele possui:  - 2 dormitórios;  - 1 banheiro;  - Cozinha com armário;  - Sala de Estar;  - Sala...|R$ 1|1|Rua Aldo de Cresci, Romeu Santini|64²|2|1|1|
60|2750|/mês|Apartamento 2 dormitórios sendo 1 suite, mobiliadoGeladeira Máquina de lavar roupas Sofá de 3 metros Mesa de 6 lugares Guarda roupas Cortina Base cama box|R$ 320|70|Rua Haiti, Jardim América|64²|2|1|2|
61|1850|/mês|Apartamento semi mobiliado, todo de piso frio, dois dormitórios com ar condicionado, uma suíte, dois WC com gabinetes e box, cozinha com geladeira e fogão, sala grande com uma lind...|null|null|Vila Hortencia, Sorocaba|105²|2|1|3|
62|1300|/mês|Apartamento JARDIM SANTA LÚCIA 2 dormitórios, sala com sacada, copa, cozinha, 1 banheiro, área de serviços, 1 vaga de garagem descoberta.  Valores: R$1.300,00 - valor do aluguel Es...|null|null|Jardim Santa Lúcia, Suzano|60²|2|1|1|
63|1800|/mês|[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] -Apartamento com excelente localização, próximo ao Moinhos Shopping, Zaffari, Panvel, Parque Mo...|R$ 217|32|Rua Felipe Neri, Auxiliadora|45²|1|null|1|Destaque
64|900|/mês|O apartamento no bairro Arianópolis (Jurema) tem 68 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui área de fitness, espaço jardinado, área de recreação infantil,...|R$ 180|50|Rua Padre Jose Maria Moura, Arianopolis Jurema|68²|2|1|2|Destaque
65|2000|/mês|O apartamento no bairro Ponta De Campina com 85 metros quadrados possui 03 quartos sendo uma suíte , 02 banheiros, uma vaga de garagem, posição Nascente Sul - super ventilado, com...|null|null|Rua Alfredo Chaves, Ponta De Campina|85²|3|1|2|Destaque
66|1800|/mês|Alugo excelente apartamento recém reformado com Sala em dois ambientes com vista para floresta da tijuca, 03 quartos, sendo um suíte, armários embutidos em 02 quartos, 02 banheiros...|R$ 1.250|150|Rua Conde de Bonfim, Tijuca|90²|3|1|3|
67|6000|/mês|Cód.: 43323 Fotos reais da unidade  Pacote mensal: R$ 7.150,00 incluso aluguel, condomínio e IPTU.  Apartamento tipo cobertura em Higienópolis com 87m², lindamente decorado e todo...|R$ 850|300|Rua Santa Isabel, Higienópolis|87²|1|1|2|Destaque
68|2200|/mês|*****Condomínio Park Studios***** ****Internet, Água e Gas incluso no Condomínio**** Apartamento Mobiliado, Reformado de Canto, Vista Livre, Andar Alto contendo de 02 Dormitórios....|R$ 398|49|SGCV, Zona Industrial|40²|2|2|1|Destaque
69|1000|/mês|ALUGA APARTAMENTO NO SEGUINTE FORMATO; -1 QUARTO; -SALA; -COZINHA ; -BANHEIRO SOCIAL ; - PROIBIDO ANIMAIS; - LUZ INDIVIDUAL;  NÃO POSSUI GARAGEM .  Modalidade de garantia: - Fiador...|null|null|QN 3 Conjunto 1, Riacho Fundo I|38²|1|null|1|
70|2900|/mês|Apartamento 2 dormitórios, sala ampla, cozinha com armário, área de serviços com banheiro, bem arejado e iluminado, banheiro social e 1 vaga de garagem. Condomínio com portaria, ja...|R$ 878|318|Rua Xerentes, Perdizes|78²|2|1|1|Destaque
71|1600|/mês|Apartamento para alugar na Vila Prudente Stúdio para alugar na Vila Prudente Apartamento para alugar na Rua Do Orfanato Apartamento para alugar no Condomínio Res  Mirante  Próximo...|R$ 145|1|Rua Orfanato, Vila Prudente|30²|1|null|1|
72|3800|/mês|RECREIO - PARK PREMIUM - LIDÍSSIMO APARTAMENO - VARANDA GOUMERT - ARMÁRIOS PLANEJADOS DE PRIMEIRA QUALIDADE - INFRAESTRTURA COMPLETA - TRANSPORTE PRIVATIVO - OPORTUNIDADE - NADA A...|R$ 1.350|258|Rua Silvia Pozzano, Recreio Dos Bandeirantes|86²|3|1|2|Destaque
73|2400|/mês|2 Dormitórios sendo 1 Suíte, 1 Sala, Cozinha, Área de Serviço, Banheiro Social, Churrasqueira,Sacada Aberta. 1 Vaga de Veículo Dupla. Posição Solar Norte. Área privativa: 89m². Inf...|R$ 450|null|Rua Matteo Gianella, Santa Catarina|89²|2|1|2|Destaque
74|3150|/mês|EDF. JARDINS PRINCE - Apartamento com 03 quartos, sendo 01 suíte; WC social; sala para 02 ambientes; varanda; cozinha é área de serviço; armários planejados nos quartos, banheiros,...|R$ 570|170|Tamarineira, Recife|76²|3|1|2|
75|4000|/mês|Locação: 4.000,00/mês Condomínio: 750,00 p/mês IPTU: 171,40 p/mês  *** VALOR SUJEITO À ALTERAÇÃO SEM PRÉVIO AVISO.  Oportunidade: Apto 107m² no Bairro Vila Ema, um dos melhores lug...|R$ 750|171|Vila Ema, São José dos Campos|107²|2|2|3|
76|3800|/mês|Conheça as características deste lindo apartamento.  - 90m² - 3 Dormitórios sendo uma suíte - Sala ampla - Cozinha - 3 Banheiros - Área de serviços - 2 Vagas de garagem  Lazer no c...|R$ 557|115|Parque Residencial Aquarius, São José dos Campos|90²|3|2|3|
77|1300|/mês|Apartamento localizado no bairro Santa Mônica com 02 quartos, sendo um súite com armário, banheiro social e súite com armário e box, sala com sacada, cozinha com armários e fogão c...|R$ 140|null|Santa Mônica, Uberlândia|52²|2|1|2|Destaque
78|1020|/mês|Primeira locação, condomínio entregue em dezembro de 2022.  Condomínio ROYAL PALM RESIDENCE  📌 Apartamentos com: • 67 metros quadrados • 3 Varandas (Sala, quarto e suíte) • Dois q...|R$ 1|1|Rua Padre Jose Maria Moura, Arianopolis Jurema|67²|2|1|2|
79|1400|/mês|Aluga-se apartamento no condomínio Park Angelim, no bairro Indianópolis.   📍Área 60m² 📍3 quartos, sendo 1 com suíte 📍Sala de estar e jantar.  📍Cozinha ampla com área de serviço...|null|null|Rua Flor de Angelim, Manoel Bezerra Lopes|60²|3|1|2|Destaque
80|4200|/mês|A cobertura duplex no bairro Itacoatiara tem 90 metros quadrados com 2 quartos sendo 2 suites e 2 banheiros Vai lhe possibilitar todo o conforto do ar condicionado nos dias mais qu...|null|null|Itacoatiara, Niterói|90²|2|1|2|
81|900|/mês|Aluga-se apartamento com 02 dormitórios sendo 01 suíte, sala, cozinha com armário embaixo da pia, banheiro social, área de serviço, churrasqueira e garagem para 02 carros.|R$ 442|442|Rua João Gimenez Garcia, Jardim Portinari|82²|2|2|2|
82|1210|/mês|Apartamento localizado no Residencial Summer Ville com área total de 300m², e área útil de aproximadamente 80m² distribuídos em 2 dormitórios, sendo 1 suíte com varanda, cozinha e...|R$ 200|null|Residencial Summer Ville, Poços de Caldas|300²|2|2|2|
83|1700|/mês|Aluga-se ótimo apto em condomínio na Coronel Veiga, próximo ao acesso ao Rio de Janeiro, com: Sala com varanda, 2 quartos, sendo 1 suíte, banheiro social, cozinha com armários, áre...|R$ 615|396|Rua Coronel Veiga, Coronel Veiga|80²|2|1|3|
84|1298|/mês|Cod: 6149    Valor do pacote: R$ 2.100,00 (incluso aluguel, condomínio e IPTU)    Muitas variáveis pesam na hora de escolher qual o melhor flat para morar, todas igualmente relevan...|R$ 754|48|Avenida Rio Branco, Campos Eliseos|32²|1|1|1|
85|4000|/mês|Apartamento mobiliado para locação com 3 suítes na Rua do Professor. Unidade rica em armários planejados, sala para 02 ambientes, ar condicionado, sacada, lavabo, cozinha planejada...|R$ 900|202|Rua do Professor, Jardim Santa Angela|138²|3|2|5|
86|7000|/mês|FRENTE MAR - Apartamento para Locação no bairro Guilhermina, localizado na cidade de Praia Grande / SP.     3 dormitórios   2 suítes   3 banheiros   2 vagas de garagem     Lazer co...|null|null|Vila Guilhermina, Praia Grande|163²|3|2|3|Destaque
87|6500|/mês|O imóvel está estrategicamente localizado em um dos bairros mais tranquilos da cidade de Santana de Parnaíba, com fácil acesso à Rodovias e a poucos metros você também encontrará,...|null|null|Tamboré, Santana de Parnaíba|94²|3|2|2|
88|1200|/mês|Apartamento aluguel 46 M² 2 quartos, 1 Banheiro, 1 Vaga de Garagem Vila Aprazível - Jacareí cod: AP08129  O apartamento no bairro Vila Aprazível com 46 metros quadrados com 2 quart...|R$ 260|45|Rua Aliança, Vila Aprazivel|46²|2|1|1|
89|900|/mês|Apartamento de 01 dormitorio, otima localização, com armario no dormitório, gabinete no banheiro, chuveiro, ventilador na sala e dormitorio, piso de ardosia, area de lazer na cober...|R$ 460|30|Vila Seixas, Ribeirão Preto|43²|1|1|1|Destaque
90|1200|/mês|Referência: APT-230205 - Apartamento novo nunca foi usado, todo acabado e pintado, como uma bela vista da Cidade Vaga de garagem rotativa. Valor total do pacote de locação R$ 1.600...|R$ 270|112|Rua Santa Amélia, Jardim do Lago|43²|2|1|1|
91|4300|/mês|Apartamento a VENDA ou LOCAÇÃO em andar médio com vista bem agradável. O imóvel tem amplo terraço com churrasqueira, living ampliado para 3 ambientes, um home office, 2 dormitórios...|R$ 940|349|Rua Frederico Guarinon, Morumbi|90²|2|2|3|
92|2200|/mês|CONDOMINIO LAS PALMAS LOCALIZADO DENTRO DO COMPLEXO PARQUE DEL SOL, APARTAMENTO 1º LOCAÇÃO COM 73M² DISPONDO DE 3 QUARTOS (SENDO 1 SUÍTE), VARANDA/SACADA, SALA DE ESTAR/JANTAR, COZ...|R$ 585|1806|Rua Alódia, Parque Iracema|73²|3|2|1|
93|3800|/mês|Apartamento pronto para morar, fica à 150 metros do Metro Vila Madalena.  - Ar condicionado em todos os ambientes; - Todos os armários (cozinha, banheiros, quartos); - Cozinha pron...|R$ 522|107|Vila Madalena, São Paulo|32²|1|1|1|
94|1600|/mês|Apartamento residencial para Locação Centro, Ubatuba 1 dormitório, 1 banheiro, 1 Sala, 1 varanda 42,00 m² construída  Iptu (proprietário paga) Água e luz separado por cada apartame...|null|null|Rua Professor Thomaz Galhardo, Centro|42²|1|null|1|
95|3500|/mês|Conheça as características deste lindo apartamento.  - 86m² - 3 Dormitórios sendo uma suíte - Sala - Cozinha - 2 Banheiros - Área de serviços - 2 Vagas de garagem  Diferenciais Exc...|R$ 750|140|Parque Residencial Aquarius, São José dos Campos|86²|3|2|2|
96|1305|/mês|Apartamento para alugar ou vender em Jacareí com 02 quartos - 68 metros Edifício Tropical Garden Residence Club Varanda gourmet Andar alto 02 dormitórios Cozinha com armários 01 va...|R$ 345|60|Jardim Emília, Jacareí|68²|2|1|2|
97|2200|/mês|Sala e quarto separados, cozinha, banheiro social e área de serviço.Reformado, mobiliado. Sem vaga.Condições para locação: Fiador|R$ 575|135|Avenida Nossa Senhora de Copacabana, Copacabana|41²|1|null|1|
98|1770|/mês|Apartamento no Cond. Residencial Pq das Magueiras!!!  3 dormitórios, sendo 1 suíte com armários, sala dois ambientes, sacada, cozinha com armários e área de serviço. Apartamento re...|R$ 400|50|Rua Orlando Bismara, Jardim Nova Manchester|82²|3|1|2|
99|1700|/mês|Apartamento para Locação, INNOVA SÃO FRANCISCO 1e2 Condomínio Clube com Laser Completo, localizado na cidade de Osasco / SP, ponto de referência BRADESCO CIDADE DE DEUS.     Com 2...|R$ 440|160|Avenida Presidente João Goulart, Umuarama|57²|2|1|1|Destaque
100|4500|/mês|Ótimo apartamento para Aluguel no Neo 360 Living Design finamente mobíliado!  Apartamento de 2 dormitórios sendo 1 suíte, sacada com vista aberta em andar alto, cozinha integrada a...|R$ 550|181|Rua Gutemberg, Petrópolis|71²|2|2|2|Super destaque
101|31000|/mês|Excelente apartamento para morar com requinte e praticidade, na melhor região do Itaim. Living amplo para dois ambientes muito iluminada; varanda gourmet fechada com janelas bascul...|R$ 3.260|1956|Rua Viradouro, Itaim Bibi|223²|3|4|5|Super destaque
